record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
1156,0,0,0.995912492275238,High (≥0.8),0,0.9862003260923831,High (≥0.8)
1286,0,0,0.9885505437850952,High (≥0.8),0,0.9971377559697046,High (≥0.8)
1308,0,0,0.9938735961914062,High (≥0.8),0,0.9946384938980054,High (≥0.8)
1317,0,0,0.9903495907783508,High (≥0.8),0,0.9613084264794536,High (≥0.8)
1387,0,0,0.9973434209823608,High (≥0.8),0,0.960803090841568,High (≥0.8)
1474,0,0,0.9942099452018738,High (≥0.8),0,0.984345577832596,High (≥0.8)
1504,0,0,0.9941712021827698,High (≥0.8),0,0.5210704184256824,Low (<0.6)
1540,0,0,0.994870662689209,High (≥0.8),0,0.9920985180104656,High (≥0.8)
1602,0,0,0.9961492419242859,High (≥0.8),0,0.9926420910808536,High (≥0.8)
1675,0,0,0.9939916729927063,High (≥0.8),0,0.986959507148519,High (≥0.8)
1714,0,0,0.9911956191062927,High (≥0.8),0,0.9956587478790406,High (≥0.8)
1730,0,0,0.9920936226844788,High (≥0.8),0,0.9867262776943437,High (≥0.8)
1756,0,0,0.9952835440635681,High (≥0.8),0,0.9893579491656065,High (≥0.8)
1810,0,0,0.9943441152572632,High (≥0.8),0,0.9895886655548741,High (≥0.8)
1825,0,0,0.9949402809143066,High (≥0.8),0,0.9570040576811653,High (≥0.8)
64,0,0,0.9998301267623901,High (≥0.8),0,0.9518110764221441,High (≥0.8)
130,0,0,0.9997495412826538,High (≥0.8),0,0.9932879530582601,High (≥0.8)
160,0,0,0.9997393488883972,High (≥0.8),0,0.9984666320139365,High (≥0.8)
192,0,0,0.9995350241661072,High (≥0.8),0,0.9953284961428563,High (≥0.8)
313,0,0,0.9997528791427612,High (≥0.8),0,0.9969731756457619,High (≥0.8)
389,0,0,0.9997513294219971,High (≥0.8),0,0.9775039733288198,High (≥0.8)
454,0,0,0.9991388320922852,High (≥0.8),0,0.8659176803752668,High (≥0.8)
509,0,0,0.9995744228363037,High (≥0.8),0,0.9598592174462969,High (≥0.8)
517,0,0,0.9998286962509155,High (≥0.8),0,0.9824918647563619,High (≥0.8)
989,0,0,0.999828577041626,High (≥0.8),0,0.989602445302455,High (≥0.8)
998,0,0,0.9997374415397644,High (≥0.8),0,0.9974618852018848,High (≥0.8)
1028,0,0,0.9998812675476074,High (≥0.8),0,0.9109281913466446,High (≥0.8)
1068,0,0,0.9997574090957642,High (≥0.8),0,0.9841190063809285,High (≥0.8)
1110,0,0,0.9997537136077881,High (≥0.8),0,0.997311895614132,High (≥0.8)
1125,0,0,0.999567985534668,High (≥0.8),0,0.9139701877753676,High (≥0.8)
1176,0,0,0.9997349381446838,High (≥0.8),0,0.9670397782425574,High (≥0.8)
1192,0,0,0.9992853999137878,High (≥0.8),0,0.9262904538324872,High (≥0.8)
1264,0,0,0.9997572898864746,High (≥0.8),0,0.9943789827554365,High (≥0.8)
1281,0,0,0.9997145533561707,High (≥0.8),0,0.9885716019391402,High (≥0.8)
1388,0,0,0.9998419880867004,High (≥0.8),0,0.7640627635812539,Medium (0.6-0.8)
1412,0,0,0.9997389912605286,High (≥0.8),0,0.996724223190528,High (≥0.8)
